URL,Redirect,Response Code,News Error,Detected,Category,Platform,Last crawled
/pubs/reports/case/broo02,/pubs/reports/case/broo/,301,,12/1/17,Not found,Smartphone,12/1/17
/pubs/reports/pub100/pub100abst,/pubs/reports/pub100/,301,,12/7/17,Not found,Smartphone,12/7/17
/pubs/reports/pub126/pub126abst,/pubs/reports/pub126/,301,,12/16/17,Not found,Smartphone,12/16/17
/pubs/reports/pub128/pub128abst,/pubs/reports/pub128/,301,,12/15/17,Not found,Smartphone,12/15/17
/pubs/reports/pub133/pub133abst,/pubs/reports/pub133/,301,,12/3/17,Not found,Smartphone,12/3/17
/pubs/reports/pub137/pub137abst,/pubs/reports/pub137/,301,,12/3/17,Not found,Smartphone,12/3/17
/pubs/reports/pub138/append1.htm,/pubs/reports/pub138/append1,301,,12/2/17,Not found,Desktop,12/11/17
/pubs/reports/pub140/appenda.htm,/pubs/reports/pub140/appenda,301,,12/2/17,Not found,Desktop,12/2/17
/pubs/reports/pub140/appenda.htm/refs.htm,/pubs/reports/pub140/appenda/refs,301,,12/4/17,Not found,Desktop,12/4/17
/pubs/reports/pub140/appendb.htm,/pubs/reports/pub140/appendb,301,,12/2/17,Not found,Desktop,12/2/17
/pubs/reports/pub140/appendc.htm,/pubs/reports/pub140/appendc,301,,12/1/17,Not found,Desktop,12/1/17
/pubs/reports/pub140/appende.htm,/pubs/reports/pub140/appende,301,,12/2/17,Not found,Desktop,12/2/17
/pubs/reports/pub140/appendf.htm,/pubs/reports/pub140/appendf,301,,12/2/17,Not found,Desktop,12/16/17
/pubs/reports/pub140/body.htm,/pubs/reports/pub140/body,301,,12/2/17,Not found,Desktop,12/14/17
/pubs/reports/pub140/body_files,/pubs/reports/pub140/body_files,301,,12/2/17,Not found,Desktop,12/2/17
/pubs/reports/pub140/refs.htm,/pubs/reports/pub140/refs,301,,12/1/17,Not found,Desktop,12/4/17
/pubs/reports/pub141/pub141abst,/pubs/reports/pub141/,301,,12/15/17,Not found,Smartphone,12/15/17
/pubs/reports/pub144/pub144abst,/pubs/reports/pub144/,301,,12/3/17,Not found,Smartphone,12/3/17
/pubs/reports/pub146/body.htm,/pubs/reports/pub146/body,301,,11/29/17,Not found,Desktop,12/1/17
/pubs/reports/pub155/pub154abst,/pubs/reports/pub154/,301,,12/8/17,Not found,Desktop,12/8/17
/pubs/reports/pub156/pub156abst,/pubs/reports/pub156/,301,,12/14/17,Not found,Smartphone,12/14/17
/pubs/reports/pub157/pub157abst,/pubs/reports/pub157/,301,,12/8/17,Not found,Desktop,12/8/17
/pubs/reports/pub163/pub163abst,/pubs/reports/pub163/,301,,12/4/17,Not found,Desktop,12/7/17
/pubs/reports/pub164/pub164abst,/pubs/reports/pub164/,301,,12/3/17,Not found,Desktop,12/7/17
/pubs/reports/pub167/pub167abst,/pubs/reports/pub167/,301,,12/3/17,Not found,Desktop,12/3/17
/pubs/reports/pub169/appendix-3,/pubs/reports/pub169/appendix3,301,,12/2/17,Not found,Desktop,12/11/17
/pubs/reports/pub173/pub173abst,/pubs/reports/pub173/,301,,12/7/17,Not found,Desktop,12/7/17
/pubs/reports/pub63/preserving-digital-information-report-of-the-task-force-on-archiving-of-digital-information,/pubs/reports/pub63/,301,,12/2/17,Not found,Desktop,12/2/17
/pubs/reports/gonzalez,/pubs/reports/pub76/,301,,12/1/17,Not found,Desktop,12/1/17
/pubs/reports/arms-79,/pubs/reports/pub79,301,,12/1/17,Not found,Desktop,12/11/17
/pubs/reports/pub83/statlab/200x200.htm,/pubs/reports/pub83/statlab/200x200,301,,12/2/17,Not found,Desktop,12/9/17
/pubs/reports/pub83/statlab/300x300.htm,/pubs/reports/pub83/statlab/300x300,301,,12/2/17,Not found,Desktop,12/2/17
/pubs/reports/pub83/statlab/400x400.htm,/pubs/reports/pub83/statlab/400x400,301,,12/2/17,Not found,Desktop,12/2/17
